Title,Efficiency,tandem,Year,reference
"All-in-one additive enables defect passivated, crystallization modulated and moisture resisted perovskite films toward efficient solar cells",22.9,single-junction,2023,"All-in-one additive enables defect passivated, crystallization modulated and moisture resisted perovskite films toward efficient solar cells. Tian, CM; Zhao, Y; Han, XF; Li, B; Rui, YC; Xiong, H; Qiu, Y; An, W; Li, KR; Hou, CY; Li, YG; Wang, HZ; Zhang, QH. 2023. CHEMICAL ENGINEERING JOURNAL."
Crystallization Kinetics of Perovskite Films by a Green Mixture Antisolvent for Efficient NiO<sub><i>x</i> </sub>-Based Inverted Solar Cells,22.9,single-junction,2024,"Crystallization Kinetics of Perovskite Films by a Green Mixture Antisolvent for Efficient NiO<sub><i>x</i> </sub>-Based Inverted Solar Cells. Yang, ZG; Wei, JH; Zheng, JZ; Zhong, ZY; Du, HB; He, ZL; Liu, LM; Ma, QY; Yu, XH; Wang, YS; Zhu, HB; Wan, MX; Mai, YH. 2024. ACS APPLIED MATERIALS & INTERFACES."
Water Stable Haloplumbate Modulation for Efficient and Stable Hybrid Perovskite Photovoltaics,22.9,single-junction,2021,"Water Stable Haloplumbate Modulation for Efficient and Stable Hybrid Perovskite Photovoltaics. Wang, HH; Zhang, Z; Milic, JV; Tan, LG; Wang, ZW; Chen, R; Jing, X; Yi, CY; Ding, Y; Li, YL; Zhao, Y; Zhang, XD; Hagfeldt, A; Grätzel, M; Luo, JS. 2021. ADVANCED ENERGY MATERIALS."
Record Photocurrent Density over 26 mA cm<SUP>-2</SUP> in Planar Perovskite Solar Cells Enabled by Antireflective Cascaded Electron Transport Layer,22.9,single-junction,2020,"Record Photocurrent Density over 26 mA cm<SUP>-2</SUP> in Planar Perovskite Solar Cells Enabled by Antireflective Cascaded Electron Transport Layer. Luo, X; Gao, Y; Zhu, PC; Han, QL; Lin, RX; Gao, H; Wang, YR; Zhu, J; Li, SL; Tan, HR. 2020. SOLAR RRL."
Multi-environment phase stabilization by lattice reinforcement for efficient perovskite solar cells,22.9,single-junction,2023,"Multi-environment phase stabilization by lattice reinforcement for efficient perovskite solar cells. Xing, Z; Meng, XC; Li, DX; Li, ZC; Gong, CX; Hu, XT; Hu, T; Chen, YW. 2023. SCIENCE CHINA-MATERIALS."
Relieving the Ion Migration and Increasing Superoxide Resistance with Glutathione Incorporation for Efficient and Stable Perovskite Solar Cells,22.89,single-junction,2023,"Relieving the Ion Migration and Increasing Superoxide Resistance with Glutathione Incorporation for Efficient and Stable Perovskite Solar Cells. Wang, JT; Wang, ZY; Chen, SM; Jiang, N; Yuan, L; Zhang, J; Duan, Y. 2023. ADVANCED MATERIALS INTERFACES."
Trap passivation in perovskite films for improved electrical properties and charge dynamics,22.89,single-junction,2022,"Trap passivation in perovskite films for improved electrical properties and charge dynamics. Liu, XY; Liu, XS; Cui, YK; Sun, LS; Qin, CR; Wang, YR; Liang, M. 2022. APPLIED PHYSICS LETTERS."
Multifunctional Aminoglycoside Antibiotics Modified SnO<sub>2</sub> Enabling High Efficiency and Mechanical Stability Perovskite Solar Cells,22.89,single-junction,2023,"Multifunctional Aminoglycoside Antibiotics Modified SnO<sub>2</sub> Enabling High Efficiency and Mechanical Stability Perovskite Solar Cells. Yan, T; Zhang, CX; Li, SQ; Wu, YK; Sun, QJ; Cui, YX; Hao, YY. 2023. ADVANCED FUNCTIONAL MATERIALS."
Enhancing efficiency and stability of perovskite solar cells via evaporated NdF<sub>3</sub> surface passivation,22.88,single-junction,2024,"Enhancing efficiency and stability of perovskite solar cells via evaporated NdF<sub>3</sub> surface passivation. Li, YJ; Gao, Y; Chen, Q; Wu, SH; Gao, YY; Liu, C; Li, Y; Mai, YH. 2024. SURFACES AND INTERFACES."
Inhomogeneous Halide Anions Distribution along Out-of-Plane Direction in Wide-Bandgap Perovskite Solar Cells and Its Effect on Open Circuit Voltage Loss and Phase Segregation,22.88,single-junction,2024,"Inhomogeneous Halide Anions Distribution along Out-of-Plane Direction in Wide-Bandgap Perovskite Solar Cells and Its Effect on Open Circuit Voltage Loss and Phase Segregation. Yu, LK; Xing, CW; Bao, QH; Zhang, L; Lu, F; He, M; Tai, QD; Zhang, TJ; Wang, DF. 2024. ACS APPLIED MATERIALS & INTERFACES."
Dual-Phase Stabilized Perovskite Nanowires for Reduced Defects and Longer Carrier Lifetime,22.87,single-junction,2023,"Dual-Phase Stabilized Perovskite Nanowires for Reduced Defects and Longer Carrier Lifetime. Shin, YM; Lee, JH; Kim, GY; Ju, HM; Jung, YS; Jo, JW; Choi, MJ. 2023. ADVANCED FUNCTIONAL MATERIALS."
Constructing molecular bridge for high-efficiency and stable perovskite solar cells based on P3HT,22.87,single-junction,2022,"Constructing molecular bridge for high-efficiency and stable perovskite solar cells based on P3HT. Xu, DD; Gong, ZM; Jiang, Y; Feng, YC; Wang, Z; Gao, XS; Lu, XB; Zhou, GF; Liu, JM; Gao, JW. 2022. NATURE COMMUNICATIONS."
Enhanced charge dynamics via V-doped SnO<sub>2</sub> combined with interface functionalization for perovskite solar cells,22.87,single-junction,2021,"Enhanced charge dynamics via V-doped SnO<sub>2</sub> combined with interface functionalization for perovskite solar cells. Liu, XY; Liu, XS; Wang, YR; Liang, M; Qin, CR; Sun, LS; Yan, CF. 2021. APPLIED PHYSICS LETTERS."
Improving Thermal Stability of High-Efficiency Methylammonium-Free Perovskite Solar Cells via Chloride Additive Engineering,22.86,single-junction,2024,"Improving Thermal Stability of High-Efficiency Methylammonium-Free Perovskite Solar Cells via Chloride Additive Engineering. Deng, P; Dai, W; Gou, YZ; Zhang, W; Xiao, ZC; He, SH; Xie, X; Zhang, K; Li, JH; Wang, XB; Lin, LY. 2024. ACS APPLIED MATERIALS & INTERFACES."
Engineering the passivation routes of perovskite films towards high performance solar cells,22.86,single-junction,2024,"Engineering the passivation routes of perovskite films towards high performance solar cells. Zhu, LZ; Xu, SD; Liu, GZ; Liu, L; Zhou, H; Ai, ZQ; Pan, X; Zhang, FP. 2024. CHEMICAL SCIENCE."
Improvements in Efficiency and Stability of Perovskite Solar Cells Using a Cesium Chloride Additive,22.86,single-junction,2022,"Improvements in Efficiency and Stability of Perovskite Solar Cells Using a Cesium Chloride Additive. Tang, XD; Chen, MM; Jiang, LL; Li, M; Tang, GQ; Liu, HR. 2022. ACS APPLIED MATERIALS & INTERFACES."
Halide exchange in the passivation of perovskite solar cells with functionalized ionic,22.86,single-junction,2022,"Halide exchange in the passivation of perovskite solar cells with functionalized ionic. Gao, XX; Ding, B; Zhang, Y; Zhang, SL; Turnell-Ritson, RC; Kanda, H; Abuhelaiqa, M; Shibayama, N; Luo, W; Li, M; Tirani, FF; Scopelliti, R; Kinge, S; Zuttel, A; Zhu, DR; Zhang, B; Feng, YQ; Fei, ZF; Nazeeruddin, MK; Dyson, PJ. 2022. CELL REPORTS PHYSICAL SCIENCE."
Controlling the film structure by regulating 2D Ruddlesden-Popper perovskite formation enthalpy for efficient and stable tri-cation perovskite solar cells,22.86,single-junction,2020,"Controlling the film structure by regulating 2D Ruddlesden-Popper perovskite formation enthalpy for efficient and stable tri-cation perovskite solar cells. Liang, C; Salim, KMM; Li, PW; Wang, Z; Koh, TM; Gu, H; Wu, B; Xia, JM; Zhang, ZP; Wang, KY; Liu, TH; Wei, Q; Wang, SS; Tang, YX; Shao, GS; Song, YL; Mathews, N; Xing, GC. 2020. JOURNAL OF MATERIALS CHEMISTRY A."
Thiazole Functionalized Hole Transport Material Featuring Defect Passivation Effects for High-Performance Perovskite Solar Cells,22.86,single-junction,2023,"Thiazole Functionalized Hole Transport Material Featuring Defect Passivation Effects for High-Performance Perovskite Solar Cells. Chen, WC; Sun, JJ; Zhang, Z; Wu, MM; Li, ZQ; Zhang, H; Chen, X; Guo, FL; Shi, CW; Hu, LH. 2023. ACS MATERIALS LETTERS."
Nb2C MXenes modified SnO2 as high quality electron transfer layer for efficient and stability perovskite solar cells,22.86,single-junction,2021,"Nb2C MXenes modified SnO2 as high quality electron transfer layer for efficient and stability perovskite solar cells. Niu, YC; Tian, C; Gao, JJ; Fan, F; Zhang, YD; Mi, YY; Ouyang, XC; Li, LN; Li, JP; Chen, SY; Liu, YP; Lu, HL; Zhao, XL; Yang, LF; Ju, HX; Yang, YG; Ding, CF; Xu, M; Xu, Q. 2021. NANO ENERGY."
"2,2'-Dihydroxy-4,4'-dimethoxy-benzophenon as Bifunctional Additives for Passivated Defects and Improved Photostability of Efficient Perovskite Photovoltaics",22.85,single-junction,2022,"2,2'-Dihydroxy-4,4'-dimethoxy-benzophenon as Bifunctional Additives for Passivated Defects and Improved Photostability of Efficient Perovskite Photovoltaics. Li, YL; Li, JL; Qi, WJ; Jiao, SM; Ling, H; Sohail, K; Li, XY; Zhang, XP. 2022. ACS APPLIED MATERIALS & INTERFACES."
Perylene Monoimide Phosphorus Salt Interfacial Modified Crystallization for Highly Efficient and Stable Perovskite Solar Cells,22.85,single-junction,2023,"Perylene Monoimide Phosphorus Salt Interfacial Modified Crystallization for Highly Efficient and Stable Perovskite Solar Cells. Chen, MM; Tang, Y; Qin, RP; Su, ZH; Yang, F; Qin, CC; Yang, J; Tang, XD; Li, M; Liu, HR. 2023. ACS APPLIED MATERIALS & INTERFACES."
Slowing the hot-carrier cooling by an organic small molecule in perovskite solar cells,22.85,single-junction,2023,"Slowing the hot-carrier cooling by an organic small molecule in perovskite solar cells. Zhu, LQ; Zhao, RJ; Zhuang, RS; Wu, T; Xie, L; Hua, Y. 2023. ECOMAT."
Double-layer synergistic optimization by functional black phosphorus quantum dots for high-efficiency and stable planar perovskite solar cells,22.85,single-junction,2021,"Double-layer synergistic optimization by functional black phosphorus quantum dots for high-efficiency and stable planar perovskite solar cells. Zhang, YH; Xu, L; Wu, YJ; Zhou, QQ; Shi, ZC; Zhuang, XM; Liu, B; Dong, B; Bai, X; Xu, W; Zhou, DL; Song, HW. 2021. NANO ENERGY."
Room-temperature electrochemically deposited polycrystalline SnO<sub>2</sub> with adjustable work function for high-efficiency perovskite solar cells,22.85,single-junction,2023,"Room-temperature electrochemically deposited polycrystalline SnO<sub>2</sub> with adjustable work function for high-efficiency perovskite solar cells. Sun, YP; Zhang, JK; Yu, HZ. 2023. JOURNAL OF MATERIALS CHEMISTRY A."
Achieving Well-Oriented FAPbI<sub>3</sub> Perovskite Photovoltaics by Cyclohexane Modification,22.84,single-junction,2024,"Achieving Well-Oriented FAPbI<sub>3</sub> Perovskite Photovoltaics by Cyclohexane Modification. Dastan, D; Mohammed, MKA; Alnayli, RS; Majeed, SM; Ahmed, DS; Al-Mousoi, AK; Pandey, R; Hossain, MK; Bhattarai, S; Al-Asbahi, BA; Rahman, MF. 2024. LANGMUIR."
Stable High-Performance Perovskite Solar Cells via Passivation of the Grain Boundary and Interface,22.84,single-junction,2021,"Stable High-Performance Perovskite Solar Cells via Passivation of the Grain Boundary and Interface. Gu, LL; Wang, SB; Chen, YQ; Xu, YB; Li, RY; Liu, D; Fang, X; Jia, XG; Yuan, NY; Ding, JN. 2021. ACS APPLIED ENERGY MATERIALS."
Branched Fluorenylidene Derivatives with Low Ionization Potentials as Hole-Transporting Materials for Perovskite Solar Cells,22.83,single-junction,2023,"Branched Fluorenylidene Derivatives with Low Ionization Potentials as Hole-Transporting Materials for Perovskite Solar Cells. Jegorove, A; Xia, JX; Steponaitis, M; Daskeviciene, M; Jankauskas, V; Gruodis, A; Kamarauskas, E; Malinauskas, T; Rakstys, K; Alamry, KA; Getautis, V; Nazeeruddin, MK. 2023. CHEMISTRY OF MATERIALS."
Strong Electron Acceptor of a Fluorine-Containing Group Leads to High Performance of Perovskite Solar Cells,22.82,single-junction,2021,"Strong Electron Acceptor of a Fluorine-Containing Group Leads to High Performance of Perovskite Solar Cells. Gong, XL; Li, HM; Zhou, RN; Peng, X; Ouyang, YK; Luo, HX; Liu, XC; Zhuang, J; Wang, HY; Ni, YF; Lei, Y. 2021. ACS APPLIED MATERIALS & INTERFACES."
Design of multifunctional near-infrared organic heterojunction and double hole transport layer to improve efficiency and stability of perovskite solar cells,22.82,single-junction,2022,"Design of multifunctional near-infrared organic heterojunction and double hole transport layer to improve efficiency and stability of perovskite solar cells. Shi, ZC; Zhou, DL; Pan, GC; Wu, YJ; Xu, W; Zhang, YH; Zhuang, XM; Liu, SN; Sun, R; Liu, L; Wang, N; Liu, B; Song, HW. 2022. CHEMICAL ENGINEERING JOURNAL."
Cesium trifluoroacetate induced synergistic effects of grain growth and defect passivation on high-performance perovskite solar cells,22.82,single-junction,2022,"Cesium trifluoroacetate induced synergistic effects of grain growth and defect passivation on high-performance perovskite solar cells. Qiu, FZ; Sun, JY; Liu, H; Qi, JJ. 2022. CHEMICAL ENGINEERING JOURNAL."
Grain Boundary Defects Passivated with <i>tert</i>-Butyl Methacrylate for High-Efficiency Perovskite Solar,22.82,single-junction,2021,"Grain Boundary Defects Passivated with <i>tert</i>-Butyl Methacrylate for High-Efficiency Perovskite Solar. Zhao, M; Yan, J; Yu, G; Yang, WC; Wu, JR; Zhang, YQ; Sheng, J; Sun, JS; Shou, CH; Yan, BJ; Fu, ZP; Ye, JC. 2021. ACS APPLIED ENERGY MATERIALS."
RbCs(MAFA)PbI<sub>3</sub> perovskite solar cell with 22.81% efficiency using the precise ions cascade regulation,22.81,single-junction,2020,"RbCs(MAFA)PbI<sub>3</sub> perovskite solar cell with 22.81% efficiency using the precise ions cascade regulation. Gao, BW; Meng, J. 2020. APPLIED SURFACE SCIENCE."
Multifunctional buried interface engineering via phenyl-phosphonic acid for efficient and stable SnO<sub>2</sub>-based planar perovskite solar cells,22.81,single-junction,2024,"Multifunctional buried interface engineering via phenyl-phosphonic acid for efficient and stable SnO<sub>2</sub>-based planar perovskite solar cells. Zhou, YF; Cao, JY; Chen, S; Lu, YY; Xu, JP; Xu, S; Zhang, YQ; Zhang, XY; Wang, Z; Sun, GP; Hu, YQ. 2024. COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS."
Polymer-Assisted Heterogeneous Lead Iodide in a Two-Step Process: Fabrication of Efficient and Stable Perovskite Solar Cells,22.81,single-junction,2023,"Polymer-Assisted Heterogeneous Lead Iodide in a Two-Step Process: Fabrication of Efficient and Stable Perovskite Solar Cells. Li, Y; Sun, XN; Li, Y; Deng, F; Li, SQ; Tao, X. 2023. SOLAR RRL."
Spectral response regulation strategy by downshifting materials to improve efficiency of flexible perovskite solar cells,22.81,single-junction,2023,"Spectral response regulation strategy by downshifting materials to improve efficiency of flexible perovskite solar cells. Li, XG; Xie, FM; Rafique, S; Wang, HL; Deng, LL; Shi, ZJ; Wang, YX; Zhang, X; Liu, K; Wang, YY; Pan, YY; Liu, FC; Li, CY; Hu, TX; Wang, J; Yu, AR; Tang, JX; Zhan, YQ. 2023. NANO ENERGY."
Overcome Low Intrinsic Conductivity of NiO<i><sub>x</sub></i> Through Triazinyl Modification for Highly Efficient and Stable Inverted Perovskite Solar Cells,22.81,single-junction,2022,"Overcome Low Intrinsic Conductivity of NiO<i><sub>x</sub></i> Through Triazinyl Modification for Highly Efficient and Stable Inverted Perovskite Solar Cells. Yang, JB; Wang, T; Li, YH; Pu, XY; Chen, H; Li, YK; Yang, BW; Zhang, YX; Zhao, JS; Cao, Q; Chen, XY; Ghasemi, S; Hagfeldt, A; Li, XH. 2022. SOLAR RRL."
22.8%-Efficient single-crystal mixed-cation inverted perovskite solar cells with a near-optimal bandgap,22.8,single-junction,2021,"22.8%-Efficient single-crystal mixed-cation inverted perovskite solar cells with a near-optimal bandgap. Alsalloum, AY; Turedi, B; Almasabi, K; Zheng, XP; Naphade, R; Stranks, SD; Mohammed, OF; Bakr, OM. 2021. ENERGY & ENVIRONMENTAL SCIENCE."
Phase Transition Modulation and Defect Suppression in Perovskite Solar Cells Enabled by a Self-Sacrificed Template,22.8,single-junction,2021,"Phase Transition Modulation and Defect Suppression in Perovskite Solar Cells Enabled by a Self-Sacrificed Template. Xiong, ZA; Chen, SS; Zhao, PJ; Cho, Y; Odunmbaku, GO; Zheng, YJ; Jones, DJ; Yang, CD; Sun, K. 2021. SOLAR RRL."
Crystallinity Regulation and Defects Passivation for Efficient and Stable Perovskite Solar Cells Using Fully Conjugated Porous Aromatic Frameworks,22.8,single-junction,2023,"Crystallinity Regulation and Defects Passivation for Efficient and Stable Perovskite Solar Cells Using Fully Conjugated Porous Aromatic Frameworks. Jing, YG; Wang, C; Chen, Y; Liu, L; Yin, LY; Cui, FC; Zhang, N; Wen, SP; Zhu, GS. 2023. ANGEWANDTE CHEMIE-INTERNATIONAL EDITION."
[(C<sub>8</sub>H<sub>17</sub>)<sub>4</sub>N]<sub>4</sub>[SiW<sub>12</sub>O<sub>40</sub>] (TASiW-12)-Modified SnO<sub>2</sub>Electron Transport Layer for Efficient and Stable Perovskite Solar Cells,22.8,single-junction,2020,"[(C<sub>8</sub>H<sub>17</sub>)<sub>4</sub>N]<sub>4</sub>[SiW<sub>12</sub>O<sub>40</sub>] (TASiW-12)-Modified SnO<sub>2</sub>Electron Transport Layer for Efficient and Stable Perovskite Solar Cells. Shi, ZJ; Zhang, X; Guo, J; Li, XG; Weng, ZH; Liu, FC; Wu, LX; Ahmed, I; Akram, A; Javed, S; Xing, GC; Li, FH; Zhan, YQ; Zheng, LR. 2020. SOLAR RRL."
Pure 2H phase MoSe<sub>2</sub> nanosheets promote the formation of a porous PbI<sub>2</sub> film and modulate residual stress for highly efficient and stable perovskite solar cells,22.8,single-junction,2023,"Pure 2H phase MoSe<sub>2</sub> nanosheets promote the formation of a porous PbI<sub>2</sub> film and modulate residual stress for highly efficient and stable perovskite solar cells. Yang, HM; Hao, Y; Ren, JK; Wu, YK; Sun, QJ; Zhang, CX; Cui, YX; Hao, YY. 2023. JOURNAL OF MATERIALS CHEMISTRY C."
Growth of 2D passivation layer in FAPbI<sub>3</sub> perovskite solar cells for high open-circuit voltage,22.8,single-junction,2022,"Growth of 2D passivation layer in FAPbI<sub>3</sub> perovskite solar cells for high open-circuit voltage. Wang, J; Liu, L; Chen, SQ; Ran, GL; Zhang, WK; Zhao, M; Zhao, CJ; Lu, FS; Jiu, TG; Li, YL. 2022. NANO TODAY."
Spiro-OMeTAD doped with iodine pentoxide to enhance planar perovskite solar cell performance,22.8,single-junction,2024,"Spiro-OMeTAD doped with iodine pentoxide to enhance planar perovskite solar cell performance. Xu, J; Wu, JH; Chen, Q; Wang, Y; Li, RS; Chen, X; Lan, Z; Sun, WH. 2024. JOURNAL OF ALLOYS AND COMPOUNDS."
"Single Layer of Crown Ether Enables Efficient, Stable, and Pb Leakage-Free Inverted Perovskite Solar Cells",22.8,single-junction,2024,"Single Layer of Crown Ether Enables Efficient, Stable, and Pb Leakage-Free Inverted Perovskite Solar Cells. Ahn, Y; Oh, SM; Xia, HC; Kim, D; Yang, E; Yang, HS; Lee, BR; Kim, J; Park, SH. 2024. ACS APPLIED MATERIALS & INTERFACES."
